fecha	pasos	diasemana	numerosemana	dia	mes	año	estacion	cuarentena	findesemana
14/8/2019	12.037	miercoles	33	14	agosto	2019	invierno	no	no
15/8/2019	7.073	jueves	33	15	agosto	2019	invierno	no	no
16/8/2019	10.783	viernes	33	16	agosto	2019	invierno	no	no
17/8/2019	5.654	sabado	33	17	agosto	2019	invierno	no	si
18/8/2019	3.395	domingo	33	18	agosto	2019	invierno	no	si
19/8/2019	2.594	lunes	34	19	agosto	2019	invierno	no	no
20/8/2019	8.611	martes	34	20	agosto	2019	invierno	no	no
21/8/2019	10.602	miercoles	34	21	agosto	2019	invierno	no	no
22/8/2019	16.191	jueves	34	22	agosto	2019	invierno	no	no
23/8/2019	8.401	viernes	34	23	agosto	2019	invierno	no	no
24/8/2019	653	sabado	34	24	agosto	2019	invierno	no	si
25/8/2019	4.296	domingo	34	25	agosto	2019	invierno	no	si
26/8/2019	6.302	lunes	35	26	agosto	2019	invierno	no	no
27/8/2019	8.353	martes	35	27	agosto	2019	invierno	no	no
28/8/2019	8.554	miercoles	35	28	agosto	2019	invierno	no	no
29/8/2019	7.845	jueves	35	29	agosto	2019	invierno	no	no
30/8/2019	8.728	viernes	35	30	agosto	2019	invierno	no	no
31/8/2019	7.329	sabado	35	31	agosto	2019	invierno	no	si
1/9/2019	15.640	domingo	35	1	septiembre	2019	invierno	no	si
2/9/2019	9.020	lunes	36	2	septiembre	2019	invierno	no	no
3/9/2019	11.396	martes	36	3	septiembre	2019	invierno	no	no
4/9/2019	10.073	miercoles	36	4	septiembre	2019	invierno	no	no
5/9/2019	5.936	jueves	36	5	septiembre	2019	invierno	no	no
6/9/2019	9.518	viernes	36	6	septiembre	2019	invierno	no	no
7/9/2019	6.121	sabado	36	7	septiembre	2019	invierno	no	si
8/9/2019	8.680	domingo	36	8	septiembre	2019	invierno	no	si
9/9/2019	1.925	lunes	37	9	septiembre	2019	invierno	no	no
10/9/2019	720	martes	37	10	septiembre	2019	invierno	no	no
11/9/2019	5.007	miercoles	37	11	septiembre	2019	invierno	no	no
12/9/2019	8.086	jueves	37	12	septiembre	2019	invierno	no	no
13/9/2019	5.477	viernes	37	13	septiembre	2019	invierno	no	no
14/9/2019	475	sabado	37	14	septiembre	2019	invierno	no	si
15/9/2019	2.913	domingo	37	15	septiembre	2019	invierno	no	si
16/9/2019	4.539	lunes	38	16	septiembre	2019	invierno	no	no
17/9/2019	9.780	martes	38	17	septiembre	2019	invierno	no	no
18/9/2019	7.011	miercoles	38	18	septiembre	2019	invierno	no	no
19/9/2019	9.729	jueves	38	19	septiembre	2019	invierno	no	no
20/9/2019	8.687	viernes	38	20	septiembre	2019	invierno	no	no
21/9/2019	2.170	sabado	38	21	septiembre	2019	primavera	no	si
